BUSINESS_DATE,STORE_KEY,PREDICTED_SALES
2024-03-24,2161,3732.2860073096826
2024-03-25,2161,2870.058569955566
2024-03-26,2161,2876.5522209646156
2024-03-27,2161,2879.57742750697
2024-03-28,2161,3553.868839465315
2024-03-29,2161,3669.969963617242
2024-03-30,2161,3610.825158184967
2024-01-01,2330,4162.980106533153
2024-01-02,2330,4197.85966293771
2024-01-03,2330,4284.88724256866
2024-01-04,2330,5164.145370716156
2024-01-05,2330,6187.56711492721
2024-01-06,2330,6187.56711492721
2024-01-07,2330,6183.113276713261
2024-01-08,2330,4162.980106533153
2024-01-09,2330,4197.85966293771
2024-01-10,2330,4284.88724256866
2024-01-11,2330,5164.145370716156
2024-01-12,2330,6187.56711492721
2024-01-13,2330,6187.56711492721
2024-01-14,2330,6183.113276713261
2024-01-15,2330,4162.980106533153
2024-01-16,2330,4197.85966293771
2024-01-17,2330,4284.88724256866
2024-01-18,2330,5164.145370716156
2024-01-19,2330,6187.56711492721
2024-01-20,2330,6079.300953514841
2024-01-21,2330,6074.847115300892
2024-01-22,2330,4199.483016132244
2024-01-23,2330,4234.362572536801
2024-01-24,2330,4321.390152167752
2024-01-25,2330,5200.648280315248
2024-01-26,2330,6079.300953514841
2024-01-27,2330,6079.300953514841
2024-01-28,2330,6074.847115300892
2024-01-29,2330,4199.483016132244
2024-01-30,2330,4234.362572536801
2024-01-31,2330,4321.390152167752
2024-02-01,2330,5572.032951982512
2024-02-02,2330,6450.6856251821055
2024-02-03,2330,6450.6856251821055
2024-02-04,2330,6507.41580092729
2024-02-05,2330,4342.3614958767375
2024-02-06,2330,4348.855146885787
2024-02-07,2330,4382.2914403054165
2024-02-08,2330,5572.032951982512
2024-02-09,2330,6450.6856251821055
2024-02-10,2330,6450.6856251821055
2024-02-11,2330,6507.41580092729
2024-02-12,2330,4342.3614958767375
2024-02-13,2330,4348.855146885787
2024-02-14,2330,4382.2914403054165
2024-02-15,2330,5434.503008599427
2024-02-16,2330,6248.296321211091
2024-02-17,2330,6248.296321211091
2024-02-18,2330,6305.026496956275
2024-02-19,2330,4342.3614958767375
2024-02-20,2330,4348.855146885787
2024-02-21,2330,4382.2914403054165
